Number,cset,alt,Choice,CL,SS,SOS,COST,SQ,Block,Q6K1,Q6K2,Q6K3,Q6K4,Q7FMRB,Q9Ct,Q9LY,Q9F,Q9AT,Q9R,Q9VB,Q9MH,Q9PP,Q10TF,Q10CH,Q10SG,Q10T,Q10AT,Q10CP,Benefit1,Benefit2,Benefit3,Gender1,Tin1,Tin2,FRB,size1,size2,AMED,Quant1,Quant2,Quant3,Quant4,Age1,Age2,Age3,Edu1,Edu2,Edu3,Q5M1,Q5M2,Q5M3,Q5M4,Q5M5,Q5M6,Q5M7,Q5M8
1,1,1,0,10,-1,1,90,0,1,1,0,0,0,1,7,3,1,2,4,8,5,6,-999,-999,-999,-999,-999,-999,0,0,1,1,0,1,0,1,0,-999,1,0,0,0,0,0,1,1,0,0,-999,-999,-999,-999,-999,-999,-999,-999
1,1,2,1,10,1,-1,530,0,1,1,0,0,0,1,7,3,1,2,4,8,5,6,-999,-999,-999,-999,-999,-999,0,0,1,1,0,1,0,1,0,-999,1,0,0,0,0,0,1,1,0,0,-999,-999,-999,-999,-999,-999,-999,-999
1,1,3,0,0,0,0,0,1,1,1,0,0,0,1,7,3,1,2,4,8,5,6,-999,-999,-999,-999,-999,-999,0,0,1,1,0,1,0,1,0,-999,1,0,0,0,0,0,1,1,0,0,-999,-999,-999,-999,-999,-999,-999,-999
1,2,1,1,10,1,-1,530,0,1,1,0,0,0,1,7,3,1,2,4,8,5,6,-999,-999,-999,-999,-999,-999,0,0,1,1,0,1,0,1,0,-999,1,0,0,0,0,0,1,1,0,0,-999,-999,-999,-999,-999,-999,-999,-999
1,2,2,0,5,-1,1,890,0,1,1,0,0,0,1,7,3,1,2,4,8,5,6,-999,-999,-999,-999,-999,-999,0,0,1,1,0,1,0,1,0,-999,1,0,0,0,0,0,1,1,0,0,-999,-999,-999,-999,-999,-999,-999,-999
1,2,3,0,0,0,0,0,1,1,1,0,0,0,1,7,3,1,2,4,8,5,6,-999,-999,-999,-999,-999,-999,0,0,1,1,0,1,0,1,0,-999,1,0,0,0,0,0,1,1,0,0,-999,-999,-999,-999,-999,-999,-999,-999
1,3,1,0,5,-1,1,270,0,1,1,0,0,0,1,7,3,1,2,4,8,5,6,-999,-999,-999,-999,-999,-999,0,0,1,1,0,1,0,1,0,-999,1,0,0,0,0,0,1,1,0,0,-999,-999,-999,-999,-999,-999,-999,-999
1,3,2,1,10,1,-1,530,0,1,1,0,0,0,1,7,3,1,2,4,8,5,6,-999,-999,-999,-999,-999,-999,0,0,1,1,0,1,0,1,0,-999,1,0,0,0,0,0,1,1,0,0,-999,-999,-999,-999,-999,-999,-999,-999
1,3,3,0,0,0,0,0,1,1,1,0,0,0,1,7,3,1,2,4,8,5,6,-999,-999,-999,-999,-999,-999,0,0,1,1,0,1,0,1,0,-999,1,0,0,0,0,0,1,1,0,0,-999,-999,-999,-999,-999,-999,-999,-999
1,4,1,1,10,1,-1,270,0,1,1,0,0,0,1,7,3,1,2,4,8,5,6,-999,-999,-999,-999,-999,-999,0,0,1,1,0,1,0,1,0,-999,1,0,0,0,0,0,1,1,0,0,-999,-999,-999,-999,-999,-999,-999,-999
1,4,2,0,5,-1,1,90,0,1,1,0,0,0,1,7,3,1,2,4,8,5,6,-999,-999,-999,-999,-999,-999,0,0,1,1,0,1,0,1,0,-999,1,0,0,0,0,0,1,1,0,0,-999,-999,-999,-999,-999,-999,-999,-999
1,4,3,0,0,0,0,0,1,1,1,0,0,0,1,7,3,1,2,4,8,5,6,-999,-999,-999,-999,-999,-999,0,0,1,1,0,1,0,1,0,-999,1,0,0,0,0,0,1,1,0,0,-999,-999,-999,-999,-999,-999,-999,-999
2,1,1,0,5,-1,1,90,0,1,-999,-999,-999,-999,1,4,3,1,2,5,8,7,6,1,6,5,4,3,2,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1
2,1,2,1,10,1,-1,530,0,1,-999,-999,-999,-999,1,4,3,1,2,5,8,7,6,1,6,5,4,3,2,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1
2,1,3,0,0,0,0,0,1,1,-999,-999,-999,-999,1,4,3,1,2,5,8,7,6,1,6,5,4,3,2,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1
2,2,1,1,10,1,-1,530,0,1,-999,-999,-999,-999,1,4,3,1,2,5,8,7,6,1,6,5,4,3,2,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1
2,2,2,0,5,-1,1,890,0,1,-999,-999,-999,-999,1,4,3,1,2,5,8,7,6,1,6,5,4,3,2,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1
2,2,3,0,0,0,0,0,1,1,-999,-999,-999,-999,1,4,3,1,2,5,8,7,6,1,6,5,4,3,2,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1
2,3,1,0,5,-1,1,270,0,1,-999,-999,-999,-999,1,4,3,1,2,5,8,7,6,1,6,5,4,3,2,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1
