Number,cset,alt,Choice,CL,SS,SOS,COST,SQ,Block,Q6K1,Q6K2,Q6K3,Q6K4,Q7FMRB,Q9Ct,Q9LY,Q9F,Q9AT,Q9R,Q9VB,Q9MH,Q9PP,Q10TF,Q10CH,Q10SG,Q10T,Q10AT,Q10CP
1,1,1,0,10,-1,1,90,0,1,1,0,0,0,1,7,3,1,2,4,8,5,6,-999,-999,-999,-999,-999,-999
1,1,2,1,10,1,-1,530,0,1,1,0,0,0,1,7,3,1,2,4,8,5,6,-999,-999,-999,-999,-999,-999
1,1,3,0,0,0,0,0,1,1,1,0,0,0,1,7,3,1,2,4,8,5,6,-999,-999,-999,-999,-999,-999
1,2,1,1,10,1,-1,530,0,1,1,0,0,0,1,7,3,1,2,4,8,5,6,-999,-999,-999,-999,-999,-999
1,2,2,0,5,-1,1,890,0,1,1,0,0,0,1,7,3,1,2,4,8,5,6,-999,-999,-999,-999,-999,-999
1,2,3,0,0,0,0,0,1,1,1,0,0,0,1,7,3,1,2,4,8,5,6,-999,-999,-999,-999,-999,-999
1,3,1,0,5,-1,1,270,0,1,1,0,0,0,1,7,3,1,2,4,8,5,6,-999,-999,-999,-999,-999,-999
1,3,2,1,10,1,-1,530,0,1,1,0,0,0,1,7,3,1,2,4,8,5,6,-999,-999,-999,-999,-999,-999
1,3,3,0,0,0,0,0,1,1,1,0,0,0,1,7,3,1,2,4,8,5,6,-999,-999,-999,-999,-999,-999
1,4,1,1,10,1,-1,270,0,1,1,0,0,0,1,7,3,1,2,4,8,5,6,-999,-999,-999,-999,-999,-999
1,4,2,0,5,-1,1,90,0,1,1,0,0,0,1,7,3,1,2,4,8,5,6,-999,-999,-999,-999,-999,-999
1,4,3,0,0,0,0,0,1,1,1,0,0,0,1,7,3,1,2,4,8,5,6,-999,-999,-999,-999,-999,-999
2,1,1,0,5,-1,1,90,0,1,-999,-999,-999,-999,1,4,3,1,2,5,8,7,6,1,6,5,4,3,2
2,1,2,1,10,1,-1,530,0,1,-999,-999,-999,-999,1,4,3,1,2,5,8,7,6,1,6,5,4,3,2
2,1,3,0,0,0,0,0,1,1,-999,-999,-999,-999,1,4,3,1,2,5,8,7,6,1,6,5,4,3,2
2,2,1,1,10,1,-1,530,0,1,-999,-999,-999,-999,1,4,3,1,2,5,8,7,6,1,6,5,4,3,2
2,2,2,0,5,-1,1,890,0,1,-999,-999,-999,-999,1,4,3,1,2,5,8,7,6,1,6,5,4,3,2
2,2,3,0,0,0,0,0,1,1,-999,-999,-999,-999,1,4,3,1,2,5,8,7,6,1,6,5,4,3,2
2,3,1,0,5,-1,1,270,0,1,-999,-999,-999,-999,1,4,3,1,2,5,8,7,6,1,6,5,4,3,2
2,3,2,1,10,1,-1,530,0,1,-999,-999,-999,-999,1,4,3,1,2,5,8,7,6,1,6,5,4,3,2
2,3,3,0,0,0,0,0,1,1,-999,-999,-999,-999,1,4,3,1,2,5,8,7,6,1,6,5,4,3,2
2,4,1,1,10,1,-1,270,0,1,-999,-999,-999,-999,1,4,3,1,2,5,8,7,6,1,6,5,4,3,2
2,4,2,0,5,-1,1,90,0,1,-999,-999,-999,-999,1,4,3,1,2,5,8,7,6,1,6,5,4,3,2
2,4,3,0,0,0,0,0,1,1,-999,-999,-999,-999,1,4,3,1,2,5,8,7,6,1,6,5,4,3,2
3,1,1,0,5,-1,1,90,0,1,0,0,0,1,1,7,6,3,2,4,5,1,8,1,5,3,2,4,6
3,1,2,1,10,1,-1,530,0,1,0,0,0,1,1,7,6,3,2,4,5,1,8,1,5,3,2,4,6
3,1,3,0,0,0,0,0,1,1,0,0,0,1,1,7,6,3,2,4,5,1,8,1,5,3,2,4,6
3,2,1,1,10,1,-1,530,0,1,0,0,0,1,1,7,6,3,2,4,5,1,8,1,5,3,2,4,6
3,2,2,0,5,-1,1,890,0,1,0,0,0,1,1,7,6,3,2,4,5,1,8,1,5,3,2,4,6
3,2,3,0,0,0,0,0,1,1,0,0,0,1,1,7,6,3,2,4,5,1,8,1,5,3,2,4,6
