Number,cset,alt,Choice,CL,SS,SOS,COST,SQ,Block,Q6K2,Q6K3,Q6K4,Benefit1,Benefit2,Benefit3,Tin2,size1,size2,AMED,Quant1,Quant2,Age2,Age3,Edu1,Edu2
1,1,1,0,10,-1,1,90,0,1,0,0,0,0,0,1,1,1,0,-999,1,0,0,1,1,0
1,1,2,1,10,1,-1,530,0,1,0,0,0,0,0,1,1,1,0,-999,1,0,0,1,1,0
1,1,3,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,-999,1,0,0,1,1,0
1,2,1,1,10,1,-1,530,0,1,0,0,0,0,0,1,1,1,0,-999,1,0,0,1,1,0
1,2,2,0,5,-1,1,890,0,1,0,0,0,0,0,1,1,1,0,-999,1,0,0,1,1,0
1,2,3,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,-999,1,0,0,1,1,0
1,3,1,0,5,-1,1,270,0,1,0,0,0,0,0,1,1,1,0,-999,1,0,0,1,1,0
1,3,2,1,10,1,-1,530,0,1,0,0,0,0,0,1,1,1,0,-999,1,0,0,1,1,0
1,3,3,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,-999,1,0,0,1,1,0
1,4,1,1,10,1,-1,270,0,1,0,0,0,0,0,1,1,1,0,-999,1,0,0,1,1,0
1,4,2,0,5,-1,1,90,0,1,0,0,0,0,0,1,1,1,0,-999,1,0,0,1,1,0
1,4,3,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,-999,1,0,0,1,1,0
2,1,1,0,5,-1,1,90,0,1,-999,-999,-999,0,0,1,1,1,0,0,1,0,0,1,1,0
2,1,2,1,10,1,-1,530,0,1,-999,-999,-999,0,0,1,1,1,0,0,1,0,0,1,1,0
2,1,3,0,0,0,0,0,1,1,-999,-999,-999,0,0,1,1,1,0,0,1,0,0,1,1,0
2,2,1,1,10,1,-1,530,0,1,-999,-999,-999,0,0,1,1,1,0,0,1,0,0,1,1,0
2,2,2,0,5,-1,1,890,0,1,-999,-999,-999,0,0,1,1,1,0,0,1,0,0,1,1,0
2,2,3,0,0,0,0,0,1,1,-999,-999,-999,0,0,1,1,1,0,0,1,0,0,1,1,0
2,3,1,0,5,-1,1,270,0,1,-999,-999,-999,0,0,1,1,1,0,0,1,0,0,1,1,0
2,3,2,1,10,1,-1,530,0,1,-999,-999,-999,0,0,1,1,1,0,0,1,0,0,1,1,0
2,3,3,0,0,0,0,0,1,1,-999,-999,-999,0,0,1,1,1,0,0,1,0,0,1,1,0
2,4,1,1,10,1,-1,270,0,1,-999,-999,-999,0,0,1,1,1,0,0,1,0,0,1,1,0
2,4,2,0,5,-1,1,90,0,1,-999,-999,-999,0,0,1,1,1,0,0,1,0,0,1,1,0
2,4,3,0,0,0,0,0,1,1,-999,-999,-999,0,0,1,1,1,0,0,1,0,0,1,1,0
3,1,1,0,5,-1,1,90,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0
3,1,2,1,10,1,-1,530,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0
3,1,3,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0
3,2,1,1,10,1,-1,530,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0
3,2,2,0,5,-1,1,890,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0
3,2,3,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0
3,3,1,0,5,-1,1,270,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0
3,3,2,1,10,1,-1,530,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0
3,3,3,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0
3,4,1,1,10,1,-1,270,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0
3,4,2,0,5,-1,1,90,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0
3,4,3,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0
4,1,1,0,5,-1,1,90,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
4,1,2,1,10,1,-1,530,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
4,1,3,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
4,2,1,1,10,1,-1,530,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
4,2,2,0,5,-1,1,890,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
4,2,3,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
4,3,1,1,5,-1,1,270,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
4,3,2,0,10,1,-1,530,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
4,3,3,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
4,4,1,1,10,1,-1,270,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
4,4,2,0,5,-1,1,90,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
4,4,3,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
