Number,cset,alt,Choice,CL,SS,SOS,COST,SQ,Block,Q6K1,Q6K2,Q6K3,Q6K4,Age1,Age2,Age3,Edu1,Edu2,Edu3,Tin1,Tin2,FRB,size1,size2,AMED,Quant1,Quant2,Quant3,Quant4,Benefit1,Benefit2,Benefit3,Gender1,Gender2,Q5M1,Q5M2,Q5M3,Q5M4,Q5M5,Q5M6,Q5M7,Q5M8,Q9Ct,Q9LY,Q9F,Q9AT,Q9R,Q9VB,Q9MH,Q9PP,Q10TF,Q10CH,Q10SG,Q10T,Q10AT,Q10CP,Old_Number
1,1,1,1,-1,1,-1,3,0,3,-999,-999,-999,-999,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,8,3,5,2,4,7,6,1,6,5,1,3,2,4,1
1,1,2,0,1,-1,1,6,0,3,-999,-999,-999,-999,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,8,3,5,2,4,7,6,1,6,5,1,3,2,4,1
1,1,3,0,0,0,0,0,1,3,-999,-999,-999,-999,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,8,3,5,2,4,7,6,1,6,5,1,3,2,4,1
1,2,1,1,1,-1,-1,1,0,3,-999,-999,-999,-999,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,8,3,5,2,4,7,6,1,6,5,1,3,2,4,1
1,2,2,0,-1,1,1,3,0,3,-999,-999,-999,-999,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,8,3,5,2,4,7,6,1,6,5,1,3,2,4,1
1,2,3,0,0,0,0,0,1,3,-999,-999,-999,-999,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,8,3,5,2,4,7,6,1,6,5,1,3,2,4,1
1,3,1,0,-1,1,1,10,0,3,-999,-999,-999,-999,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,8,3,5,2,4,7,6,1,6,5,1,3,2,4,1
1,3,2,1,1,-1,-1,1,0,3,-999,-999,-999,-999,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,8,3,5,2,4,7,6,1,6,5,1,3,2,4,1
1,3,3,0,0,0,0,0,1,3,-999,-999,-999,-999,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,8,3,5,2,4,7,6,1,6,5,1,3,2,4,1
1,4,1,0,1,-1,1,6,0,3,-999,-999,-999,-999,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,8,3,5,2,4,7,6,1,6,5,1,3,2,4,1
1,4,2,1,-1,1,-1,10,0,3,-999,-999,-999,-999,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,8,3,5,2,4,7,6,1,6,5,1,3,2,4,1
1,4,3,0,0,0,0,0,1,3,-999,-999,-999,-999,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,8,3,5,2,4,7,6,1,6,5,1,3,2,4,1
2,1,1,1,-1,1,-1,3,0,3,-999,-999,-999,-999,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,8,3,2,1,6,7,4,5,4,5,1,6,2,3,2
2,1,2,0,1,-1,1,6,0,3,-999,-999,-999,-999,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,8,3,2,1,6,7,4,5,4,5,1,6,2,3,2
2,1,3,0,0,0,0,0,1,3,-999,-999,-999,-999,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,8,3,2,1,6,7,4,5,4,5,1,6,2,3,2
2,2,1,1,1,-1,-1,1,0,3,-999,-999,-999,-999,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,8,3,2,1,6,7,4,5,4,5,1,6,2,3,2
2,2,2,0,-1,1,1,3,0,3,-999,-999,-999,-999,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,8,3,2,1,6,7,4,5,4,5,1,6,2,3,2
2,2,3,0,0,0,0,0,1,3,-999,-999,-999,-999,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,8,3,2,1,6,7,4,5,4,5,1,6,2,3,2
