Animal,Subsidy,Participation,Type,,,,,,
Bovine,20,0.38,Optimal,,,,,,
Bovine,60,0.61,Optimal,,,,,,
Bovine,120,0.86,Optimal,,,,,,
Bovine,200,0.97,Optimal,,,,,,
Bovine,20,0.04,Non-Optimal,,,,,,
Bovine,60,0.09,Non-Optimal,,,,,,
Bovine,120,0.28,Non-Optimal,,,,,,
Bovine,200,0.7,Non-Optimal,,,,,,
Ovine,1,0.71,Optimal,,,,,,
Ovine,3,0.89,Optimal,,,,,,
Ovine,6,0.98,Optimal,,,,,,
Ovine,10,1,Optimal,,,,,,
Ovine,1,0.02,Non-Optimal,,,,,,
Ovine,3,0.05,Non-Optimal,,,,,,
Ovine,6,0.25,Non-Optimal,,,,,,
Ovine,10,0.78,Non-Optimal,,,,,,
